                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3265,                 2.8135,                 1.7124,                0.09892,                      1,                0.47568,                0.36505,                0.80995,                 2.6487,                 1.2575,             0.00040441,             0.00040441,             0.00040441
                      1,                0.99916,                 1.4309,                 1.3702,                0.91468,                0.42891,                0.46799,                0.30165,                 1.2041,                 1.9978,                 1.8612,             0.00081837,             0.00081837,             0.00081837
                      2,                0.95743,                 1.2254,                 1.3199,                 0.9596,                0.44612,                0.48553,                 0.3689,                0.90824,                 1.5694,                 1.4357,              0.0012296,              0.0012296,              0.0012296
                      3,                0.95456,                 1.1093,                  1.308,                0.97105,                0.47858,                0.48651,                0.36316,                 1.0641,                 1.2851,                 1.8867,              0.0012376,              0.0012376,              0.0012376
                      4,                0.89257,                 0.9694,                 1.2893,                0.93588,                0.46657,                0.48222,                0.36219,                0.95857,                 1.0829,                 1.4266,              0.0012376,              0.0012376,              0.0012376
                      5,                0.88282,                0.87755,                  1.254,                0.95757,                0.45098,                0.48282,                0.24625,                 1.2896,                 1.4833,                 1.6466,              0.0012335,              0.0012335,              0.0012335
                      6,                0.87059,                0.80138,                 1.2594,                0.97063,                 0.4714,                0.47388,                  0.341,                 1.0733,                0.84718,                 1.5231,              0.0012294,              0.0012294,              0.0012294
                      7,                0.87846,                0.74933,                 1.2389,                0.99149,                 0.4902,                0.49253,                0.37831,                   0.94,                0.60288,                 1.4122,              0.0012252,              0.0012252,              0.0012252
                      8,                0.84923,                0.72631,                 1.2445,                 0.9342,                0.48039,                0.48879,                0.36291,                0.94616,                0.84802,                 1.4003,              0.0012211,              0.0012211,              0.0012211
                      9,                0.84893,                0.68032,                 1.2327,                      1,                0.48841,                 0.4974,                0.42353,                0.68574,                0.51024,                 1.1148,               0.001217,               0.001217,               0.001217
                     10,                0.82547,                0.63435,                 1.2154,                0.99876,                    0.5,                 0.4975,                0.40487,                0.77833,                0.52975,                 1.2512,              0.0012129,              0.0012129,              0.0012129
                     11,                0.82624,                 0.6085,                  1.218,                0.49738,                 0.4902,                0.49256,                0.39272,                0.85651,                0.56033,                 1.3193,              0.0012087,              0.0012087,              0.0012087
                     12,                0.81285,                 0.5892,                 1.2175,                0.99889,                    0.5,                 0.4975,                0.37499,                0.80721,                0.54198,                 1.3201,              0.0012046,              0.0012046,              0.0012046
